Марка;Ссылка;Цена в $;Цена в UAH;Город
Lifan KP200 (Irokez) 2020;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1829363.html;   1 570 $   ;42 861 грн;Харьков
Lifan LF150-2E 2020;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1829356.html;   995 $   ;27 163 грн;Харьков
Lifan KPR 2020;https://auto.ria.com/newauto/auto-lifan-kpr-1836368.html;   1 580 $   ;42 558 грн;Харьков
Lifan KP 2020;https://auto.ria.com/newauto/auto-lifan-kp-1836367.html;   2 360 $   ;63 568 грн;Харьков
Lifan LF 2020;https://auto.ria.com/newauto/auto-lifan-lf-1836373.html;   2 800 $   ;75 457 грн;Харьков
Lifan KPT 2020;https://auto.ria.com/newauto/auto-lifan-kpt-1836365.html;   2 000 $   ;53 871 грн;Харьков
Lifan KP 2020;https://auto.ria.com/newauto/auto-lifan-kp-1836375.html;   3 650 $   ;98 315 грн;Харьков
Lifan KP 2020;https://auto.ria.com/newauto/auto-lifan-kp-1836362.html;   1 570 $   ;42 289 грн;Харьков
Lifan SR 2020;https://auto.ria.com/newauto/auto-lifan-sr-1836371.html;   1 350 $   ;36 363 грн;Харьков
Lifan CityR 2020;https://auto.ria.com/newauto/auto-lifan-cityr-1836366.html;   1 100 $   ;29 629 грн;Харьков
Lifan BTR 2020;https://auto.ria.com/newauto/auto-lifan-btr-1836370.html;   1 000 $   ;26 936 грн;Харьков
Lifan BTR 2019;https://auto.ria.com/newauto/auto-lifan-btr-1821101.html;   984 $   ;26 500 грн;Мукачево
Lifan SR 2019;https://auto.ria.com/newauto/auto-lifan-sr-1782164.html;   1 329 $   ;35 815 грн;Херсон
Lifan Mustang 2019;https://auto.ria.com/newauto/auto-lifan-mustang-1821098.html;   585 $   ;15 750 грн;Мукачево
Lifan BTR 2020;https://auto.ria.com/newauto/auto-lifan-btr-1829357.html;   1 050 $   ;28 665 грн;Харьков
Lifan SR 2019;https://auto.ria.com/newauto/auto-lifan-sr-1821125.html;   1 221 $   ;32 875 грн;Мукачево
Lifan LF 2019;https://auto.ria.com/newauto/auto-lifan-lf-1821497.html;   1 100 $   ;29 644 грн;Ивано-Франковск
Lifan KPT 2018;https://auto.ria.com/newauto/auto-lifan-kpt-1794268.html;   1 855 $   ;49 975 грн;Мукачево
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1624471.html;   1 699 $   ;45 798 грн;Херсон
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1586710.html;   1 090 $   ;29 382 грн;Херсон
Lifan LF 2020;https://auto.ria.com/newauto/auto-lifan-lf-1836372.html;   995 $   ;26 801 грн;Харьков
Lifan KPT 2020;https://auto.ria.com/newauto/auto-lifan-kpt-1829362.html;   1 999 $   ;54 573 грн;Харьков
Lifan LF 2019;https://auto.ria.com/newauto/auto-lifan-lf-1816089.html;   937 $   ;25 250 грн;Мукачево
Lifan LF 2019;https://auto.ria.com/newauto/auto-lifan-lf-1821498.html;   1 250 $   ;33 670 грн;Ивано-Франковск
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1596398.html;   1 635 $   ;44 073 грн;Херсон
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1782172.html;   2 768 $   ;74 595 грн;Херсон
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1604716.html;   2 174 $   ;58 602 грн;Херсон
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1816125.html;   2 552 $   ;68 750 грн;Мукачево
Lifan KP 2018;https://auto.ria.com/newauto/auto-lifan-kp-1793324.html;   1 605 $   ;43 225 грн;Мукачево
Lifan KP 2019;https://auto.ria.com/newauto/auto-lifan-kp-1782166.html;   2 364 $   ;63 708 грн;Херсон
Lifan LF 2018;https://auto.ria.com/newauto/auto-lifan-lf-1454139.html;   2 267 $   ;61 109 грн;Херсон
Lifan KP 2019;https://auto.ria.com/newauto/auto-lifan-kp-1821114.html;   2 208 $   ;59 475 грн;Мукачево
Lifan CityR 2019;https://auto.ria.com/newauto/auto-lifan-cityr-1816091.html;   1 049 $   ;28 250 грн;Мукачево
Lifan KP 2018;https://auto.ria.com/newauto/auto-lifan-kp-1586709.html;   1 420 $   ;38 277 грн;Херсон
Lifan KPR 2020;https://auto.ria.com/newauto/auto-lifan-kpr-1836363.html;   1 620 $   ;43 636 грн;Харьков
